claim_type,zone,hour_of_day,day_of_week,days_since_joining,claims_last_30_days,worker_age,claim_amount_inr,velocity_kmh,velocity_flag,device_accounts_today,device_flag,weather_matches_claim,weather_flag,actual_aqi,claimed_aqi_severe,actual_rainfall_mm,actual_temp_c,zone_claims_last_hour,mins_since_shift_start,photo_submitted,is_fraud,claim_type_enc,zone_enc
natural_disaster,Marathahalli,10,4,163,1,18,3857.2,16.27,0,1,0,1,0,59,0,3.19,24.54,1,128.65,1,0,2,6
rain_damage,Whitefield,9,3,655,0,29,1323.69,24.58,0,1,0,1,0,36,0,21.94,23.16,0,380.07,0,0,4,7
rain_damage,Indiranagar,20,1,207,1,24,2113.98,6.47,0,1,0,1,0,35,0,24.56,26.97,1,338.49,1,0,4,3
poor_aqi,Electronic_City,15,6,16,0,27,533.21,6.78,0,1,0,1,0,173,1,4.44,25.49,1,175.13,1,0,3,1
extreme_heat,Whitefield,16,2,281,4,22,696.65,16.72,0,1,0,1,0,115,0,13.31,33.33,1,288.17,1,0,0,7
extreme_heat,Koramangala,14,6,21,1,27,850.62,17.39,0,1,0,1,0,44,0,11.33,39.77,1,123.0,1,0,0,5
natural_disaster,Electronic_City,20,5,109,0,33,4946.07,3.05,0,1,0,1,0,30,0,3.42,25.95,3,209.19,1,0,2,1
extreme_heat,Indiranagar,11,6,33,0,18,451.91,6.35,0,1,0,1,0,32,0,4.51,41.58,1,247.73,1,0,0,3
natural_disaster,BTM_Layout,0,0,49,0,30,19082.03,132.28,1,2,0,0,1,99,0,5.98,26.96,1,539.16,0,1,2,0
flood,Whitefield,18,3,186,0,22,5746.92,3.44,0,1,0,1,0,52,0,47.9,34.75,2,393.05,1,0,1,7
rain_damage,BTM_Layout,11,4,415,1,35,2095.67,22.18,0,1,0,1,0,104,0,75.49,22.66,3,376.65,0,0,4,0
flood,Indiranagar,21,2,189,0,22,3301.6,18.66,0,1,0,1,0,46,0,31.56,30.94,3,240.05,0,0,1,3
extreme_heat,Whitefield,1,4,125,1,31,624.62,0.61,0,1,0,1,0,59,0,14.31,28.86,2,372.04,1,0,0,7
extreme_heat,Hebbal,0,3,62,2,29,1148.92,17.4,0,1,0,1,0,61,0,10.07,26.53,1,125.16,1,0,0,2
rain_damage,Whitefield,21,6,62,4,36,1724.95,17.55,0,1,0,1,0,116,0,11.93,27.04,3,70.47,0,0,4,7
flood,Electronic_City,16,3,7,1,33,3086.17,24.13,0,1,0,1,0,76,0,58.97,24.45,1,388.12,1,0,1,1
extreme_heat,Hebbal,22,1,4,3,25,2298.45,14.29,0,5,1,0,1,92,0,6.54,32.09,0,1.7,0,1,0,2
rain_damage,Electronic_City,13,5,218,1,18,3876.94,215.49,1,1,0,0,1,48,0,69.95,21.88,1,405.3,0,1,4,1
flood,Whitefield,0,0,300,3,23,2858.36,9.43,0,1,0,1,0,116,0,14.98,22.66,2,327.64,1,0,1,7
natural_disaster,Indiranagar,12,2,377,2,31,7177.21,161.84,1,2,0,0,1,66,0,3.58,23.45,2,1.6,0,1,2,3
poor_aqi,Hebbal,8,2,17,2,39,1339.82,227.95,1,4,1,0,1,158,0,14.61,32.33,0,509.18,0,1,3,2
flood,Hebbal,16,4,328,1,33,2586.42,12.83,0,1,0,1,0,94,0,71.63,25.83,2,146.59,1,0,1,2
poor_aqi,Electronic_City,6,2,51,1,24,642.88,18.52,0,1,0,1,0,50,0,3.56,19.54,2,216.06,1,0,3,1
natural_disaster,BTM_Layout,12,4,70,0,33,3452.61,4.16,0,1,0,1,0,30,0,9.41,21.67,2,119.58,0,0,2,0
poor_aqi,BTM_Layout,20,1,37,1,23,884.64,24.66,0,1,0,1,0,190,0,12.34,27.75,6,20.28,1,0,3,0
rain_damage,Whitefield,20,1,86,4,27,2047.08,20.32,0,2,0,0,1,82,0,50.96,26.72,3,89.97,1,0,4,7
poor_aqi,Electronic_City,0,0,254,0,18,798.82,7.69,0,1,0,0,1,106,0,7.2,25.66,5,392.38,1,0,3,1
extreme_heat,Whitefield,1,3,142,2,39,1037.18,11.48,0,1,0,1,0,113,0,6.89,35.37,3,103.66,1,0,0,7
extreme_heat,Electronic_City,15,3,36,2,22,1281.74,3.38,0,1,0,1,0,41,0,3.1,37.02,8,561.24,1,1,0,1
flood,Hebbal,22,5,111,1,33,4018.68,103.58,1,3,1,1,0,118,0,22.76,22.06,1,1.61,0,1,1,2
rain_damage,Jayanagar,17,6,157,2,18,1256.17,22.49,0,1,0,1,0,88,0,79.06,32.34,2,69.62,1,0,4,4
extreme_heat,Electronic_City,23,6,332,0,32,3150.13,239.04,1,4,1,0,1,55,0,4.2,34.87,1,1.28,1,1,0,1
natural_disaster,Electronic_City,10,6,118,1,22,3380.25,24.75,0,1,0,1,0,94,0,2.08,25.08,0,55.51,1,0,2,1
extreme_heat,Electronic_City,16,4,319,1,29,544.99,1.66,0,1,0,1,0,93,0,11.72,34.54,4,101.92,1,0,0,1
rain_damage,Jayanagar,9,0,206,2,32,1408.12,14.44,0,1,0,1,0,95,0,48.05,38.04,2,376.53,1,0,4,4
poor_aqi,Marathahalli,14,4,123,4,25,422.73,17.85,0,1,0,1,0,167,0,1.66,28.94,1,164.94,0,0,3,6
poor_aqi,Hebbal,12,1,2,2,35,562.21,4.55,0,3,1,0,1,153,1,9.17,28.79,14,2.95,0,1,3,2
extreme_heat,BTM_Layout,14,4,85,1,30,491.41,10.36,0,1,0,0,1,36,0,5.2,41.91,2,186.45,1,0,0,0
poor_aqi,Electronic_City,20,0,81,2,21,515.68,98.78,1,3,1,0,1,190,1,6.4,29.58,2,567.31,0,1,3,1
flood,Indiranagar,21,3,118,2,24,5012.98,6.81,0,1,0,1,0,116,0,78.53,25.89,4,86.48,1,0,1,3
rain_damage,Marathahalli,4,2,393,4,18,880.39,15.83,0,1,0,1,0,48,0,50.81,22.5,3,111.18,1,0,4,6
poor_aqi,Hebbal,4,4,94,1,29,758.16,3.5,0,1,0,1,0,177,1,7.27,26.52,3,95.03,1,0,3,2
flood,Indiranagar,12,1,57,0,18,4216.71,16.29,0,1,0,1,0,115,0,19.58,29.76,5,366.62,1,0,1,3
flood,Electronic_City,1,3,573,0,28,2273.0,20.93,0,1,0,1,0,88,0,30.8,25.89,4,93.83,1,0,1,1
extreme_heat,Hebbal,10,0,123,1,25,460.11,18.2,0,1,0,1,0,71,0,6.9,35.46,0,40.33,1,0,0,2
flood,Hebbal,18,4,17,1,27,2740.53,13.55,0,1,0,1,0,50,0,63.13,30.1,6,271.27,1,0,1,2
rain_damage,Marathahalli,20,5,444,0,21,2136.59,24.28,0,1,0,1,0,68,0,41.86,32.27,3,228.66,1,0,4,6
extreme_heat,BTM_Layout,22,6,12,1,24,900.71,22.15,0,1,0,1,0,84,0,6.93,40.26,1,82.33,1,0,0,0
extreme_heat,Marathahalli,13,3,9,0,27,864.61,6.79,0,1,0,1,0,113,0,11.06,30.67,1,148.3,1,0,0,6
natural_disaster,Koramangala,15,0,434,0,26,3746.63,23.91,0,1,0,1,0,99,0,14.73,22.58,5,166.62,0,0,2,5
extreme_heat,Jayanagar,13,1,8,1,31,573.06,12.96,0,1,0,1,0,64,0,11.37,41.17,1,328.17,1,0,0,4
rain_damage,Koramangala,3,5,354,1,26,816.56,21.3,0,1,0,1,0,54,0,48.56,18.19,0,169.3,1,0,4,5
natural_disaster,BTM_Layout,17,5,589,0,33,6427.91,16.55,0,1,0,1,0,62,0,13.18,27.18,7,251.26,1,0,2,0
extreme_heat,Jayanagar,18,6,314,0,35,2835.93,16.64,0,1,0,0,1,46,0,1.74,29.1,3,486.45,0,1,0,4
natural_disaster,Jayanagar,21,3,34,2,32,9868.81,267.53,1,3,1,0,1,81,0,11.37,31.88,6,2.99,1,1,2,4
natural_disaster,Whitefield,19,1,266,0,30,8144.16,24.11,0,1,0,1,0,30,0,4.81,28.22,2,348.57,1,0,2,7
poor_aqi,BTM_Layout,7,3,36,5,29,777.92,12.04,0,1,0,1,0,133,0,3.01,30.55,1,236.97,1,0,3,0
extreme_heat,BTM_Layout,12,0,2,0,25,880.02,7.29,0,1,0,1,0,70,0,0.59,19.46,1,104.4,0,0,0,0
poor_aqi,Hebbal,0,1,269,1,34,2136.77,150.86,1,1,0,0,1,192,1,2.51,27.46,6,542.82,0,1,3,2
extreme_heat,Hebbal,15,3,163,2,26,979.86,14.83,0,1,0,1,0,48,0,14.64,26.71,1,317.98,1,0,0,2
flood,Electronic_City,17,2,46,3,24,2122.61,6.44,0,1,0,1,0,60,0,39.11,28.06,5,210.46,1,0,1,1
flood,BTM_Layout,3,1,163,3,20,14359.98,250.72,1,3,1,0,1,43,0,22.67,19.26,1,489.06,0,1,1,0
rain_damage,Whitefield,1,2,192,1,18,860.25,4.24,0,1,0,1,0,30,0,41.46,25.64,3,157.95,1,0,4,7
poor_aqi,Jayanagar,16,0,219,2,24,892.02,3.07,0,1,0,1,0,50,1,6.78,27.22,3,67.85,0,0,3,4
extreme_heat,Electronic_City,1,0,183,2,40,511.72,0.75,0,1,0,1,0,37,0,14.55,33.16,0,272.31,1,0,0,1
flood,Koramangala,22,6,520,2,29,2121.55,23.27,0,1,0,1,0,48,0,75.86,32.25,3,72.12,1,0,1,5
rain_damage,Koramangala,15,4,274,3,35,1961.77,19.06,0,1,0,1,0,104,0,36.3,20.86,2,255.78,1,0,4,5
extreme_heat,Hebbal,0,0,142,1,20,914.06,18.98,0,1,0,1,0,101,0,7.79,35.87,1,143.09,1,0,0,2
natural_disaster,Marathahalli,11,3,168,4,32,4460.89,23.18,0,1,0,0,1,115,0,2.92,28.41,1,214.0,1,0,2,6
poor_aqi,Whitefield,7,1,169,1,22,408.69,17.03,0,1,0,1,0,120,1,11.9,25.88,2,43.95,0,0,3,7
natural_disaster,Indiranagar,14,2,0,2,31,4048.64,9.02,0,1,0,1,0,78,0,3.55,32.8,3,270.34,1,0,2,3
rain_damage,Marathahalli,17,4,33,2,35,1570.05,5.8,0,1,0,1,0,54,0,79.14,35.12,1,167.68,1,0,4,6
rain_damage,Whitefield,6,3,307,1,29,1147.34,16.13,0,1,0,1,0,99,0,34.85,28.26,0,212.43,1,0,4,7
extreme_heat,BTM_Layout,20,5,161,1,19,441.87,9.46,0,1,0,0,1,116,0,6.98,32.87,0,229.3,0,0,0,0
rain_damage,Marathahalli,15,1,18,2,34,1340.79,113.53,1,5,1,0,1,59,0,53.65,30.05,7,417.53,0,1,4,6
poor_aqi,Electronic_City,22,1,165,2,28,528.37,21.95,0,1,0,1,0,129,1,12.28,26.51,1,69.98,1,0,3,1
flood,BTM_Layout,9,0,154,1,21,5593.05,20.73,0,1,0,0,1,35,0,20.25,28.51,1,20.07,1,0,1,0
poor_aqi,Hebbal,12,6,126,1,20,671.75,16.26,0,1,0,1,0,59,1,7.27,30.0,3,76.56,1,0,3,2
extreme_heat,Marathahalli,15,3,173,1,23,539.0,16.39,0,1,0,1,0,92,0,6.75,29.79,1,171.51,0,0,0,6
natural_disaster,Electronic_City,22,1,25,2,22,6713.69,8.09,0,1,0,1,0,82,0,12.02,29.9,2,223.7,1,0,2,1
natural_disaster,Indiranagar,3,1,70,2,22,7710.1,22.3,0,2,0,1,0,38,0,14.14,15.62,1,118.95,0,0,2,3
natural_disaster,Hebbal,10,6,193,3,20,7424.6,12.81,0,1,0,1,0,116,0,10.74,27.31,0,37.79,1,0,2,2
natural_disaster,BTM_Layout,13,3,77,2,35,4590.28,0.52,0,1,0,0,1,37,0,11.54,30.59,2,57.34,1,0,2,0
rain_damage,Koramangala,22,5,407,1,21,1479.02,23.01,0,1,0,1,0,40,0,13.06,26.66,0,243.43,1,0,4,5
poor_aqi,Indiranagar,17,5,57,3,32,455.06,13.6,0,1,0,1,0,175,0,10.93,25.2,2,222.56,0,0,3,3
natural_disaster,Jayanagar,17,1,25,2,35,7396.81,13.56,0,1,0,1,0,92,0,1.59,27.11,1,235.1,0,0,2,4
flood,Indiranagar,15,0,243,1,29,4630.24,7.77,0,1,0,1,0,56,0,58.15,26.01,2,340.74,0,0,1,3
rain_damage,Indiranagar,20,0,204,2,21,1328.06,16.08,0,1,0,1,0,55,0,37.41,27.03,2,251.64,1,0,4,3
poor_aqi,Koramangala,22,6,118,1,37,636.4,15.09,0,1,0,1,0,109,0,9.55,37.03,1,300.91,0,0,3,5
poor_aqi,BTM_Layout,18,4,28,1,27,2003.49,285.28,1,2,0,0,1,96,1,6.15,26.39,2,0.55,1,1,3,0
natural_disaster,Electronic_City,16,2,63,1,34,5246.64,180.8,1,1,0,1,0,68,0,7.45,26.03,2,427.07,0,1,2,1
poor_aqi,Indiranagar,21,3,58,0,21,806.87,6.7,0,1,0,1,0,156,1,13.6,17.32,1,170.33,1,0,3,3
flood,BTM_Layout,23,2,595,2,18,4923.28,24.53,0,1,0,1,0,119,0,23.38,24.35,1,379.34,0,0,1,0
rain_damage,Indiranagar,20,3,97,0,30,1336.45,199.36,1,3,1,0,1,99,0,40.0,36.57,8,595.61,0,1,4,3
natural_disaster,Hebbal,3,5,252,0,30,3969.72,6.39,0,1,0,1,0,57,0,11.58,22.81,0,35.43,1,0,2,2
rain_damage,Indiranagar,19,2,20,2,28,1180.71,19.82,0,1,0,1,0,84,0,54.99,19.81,2,184.57,1,0,4,3
extreme_heat,Jayanagar,2,2,58,1,24,849.37,176.87,1,1,0,0,1,41,0,11.1,30.91,10,0.09,0,1,0,4
poor_aqi,Jayanagar,8,3,450,0,29,488.44,6.36,0,1,0,1,0,79,1,10.68,30.66,1,103.55,1,0,3,4
flood,Indiranagar,10,0,102,3,25,3259.68,0.1,0,1,0,1,0,49,0,25.9,28.49,3,209.94,1,0,1,3
extreme_heat,Koramangala,20,4,190,5,29,1421.98,181.28,1,3,1,0,1,59,0,12.04,37.9,0,405.44,1,1,0,5
extreme_heat,Whitefield,9,2,294,0,33,625.22,21.82,0,1,0,1,0,90,0,1.03,30.84,1,231.2,1,0,0,7
natural_disaster,Whitefield,8,2,235,1,20,8934.17,15.65,0,1,0,1,0,77,0,0.52,20.63,4,334.24,1,0,2,7
natural_disaster,Koramangala,8,3,365,0,24,5914.64,2.75,0,1,0,0,1,67,0,8.88,28.21,1,0.31,0,1,2,5
flood,Whitefield,22,0,127,1,23,3889.97,1.14,0,1,0,1,0,94,0,41.53,20.4,3,194.97,1,0,1,7
rain_damage,Electronic_City,16,5,322,1,18,1077.76,9.92,0,1,0,1,0,117,0,16.1,19.79,1,144.64,1,0,4,1
natural_disaster,BTM_Layout,10,5,888,0,23,5530.97,10.28,0,1,0,1,0,41,0,10.12,19.43,4,10.82,1,0,2,0
rain_damage,Marathahalli,19,1,53,3,34,2100.48,10.11,0,1,0,1,0,31,0,56.8,38.0,3,258.08,0,0,4,6
poor_aqi,Whitefield,19,5,23,1,21,307.02,10.55,0,1,0,1,0,94,0,13.65,27.54,2,328.52,1,0,3,7
extreme_heat,Indiranagar,3,2,14,2,24,760.1,14.48,0,1,0,1,0,104,0,8.73,26.03,3,156.08,1,0,0,3
poor_aqi,Jayanagar,23,0,76,0,28,682.14,8.52,0,1,0,1,0,98,1,12.71,26.19,4,75.27,0,0,3,4
extreme_heat,Whitefield,10,4,87,0,27,528.02,0.58,0,1,0,1,0,59,0,1.95,31.78,2,194.86,1,0,0,7
rain_damage,Koramangala,12,2,584,1,31,981.22,13.84,0,1,0,1,0,116,0,40.83,16.81,1,85.9,1,0,4,5
poor_aqi,Jayanagar,11,2,146,1,26,675.74,12.22,0,1,0,0,1,131,0,8.54,21.46,1,164.1,1,0,3,4
poor_aqi,Electronic_City,18,6,598,4,25,776.53,6.89,0,1,0,0,1,66,0,7.69,28.4,0,304.3,1,0,3,1
poor_aqi,Electronic_City,10,0,148,1,26,735.43,22.36,0,1,0,1,0,53,0,7.15,30.37,1,11.24,1,0,3,1
