claim_id,velocity_kmh,device_reuse_count,weather_match,claim_hour,claims_this_week,label
CLM01000,1.13,1,1,10,4,0
CLM01001,1.34,4,0,16,3,1
CLM01002,32.22,1,1,21,4,0
CLM01003,39.12,1,1,20,2,0
CLM01004,9.69,1,1,19,0,0
CLM01005,15.48,1,1,21,4,0
CLM01006,55.52,4,0,5,9,1
CLM01007,31.71,1,1,16,0,0
CLM01008,38.99,1,1,18,1,0
CLM01009,9.43,1,0,9,4,0
CLM01010,24.04,1,1,15,4,0
CLM01011,14.59,1,1,8,2,0
CLM01012,2.98,2,1,17,1,0
CLM01013,17.8,2,1,15,1,0
CLM01014,25.26,1,1,19,2,0
CLM01015,44.89,1,1,8,0,0
CLM01016,229.71,1,1,12,5,1
CLM01017,23.81,3,1,7,0,0
CLM01018,24.16,1,1,10,2,0
CLM01019,20.42,2,1,15,4,0
CLM01020,22.85,1,1,13,1,0
CLM01021,7.27,2,0,7,4,0
CLM01022,0.88,2,1,16,1,0
CLM01023,116.29,2,0,5,11,1
CLM01024,44.01,1,1,22,4,0
CLM01025,24.26,1,0,17,2,1
CLM01026,17.95,1,1,21,0,0
CLM01027,2.88,1,1,14,0,0
CLM01028,9.16,1,0,10,1,1
CLM01029,12.53,1,1,22,1,0
CLM01030,36.34,1,1,20,2,0
CLM01031,21.02,1,1,10,0,0
CLM01032,15.27,2,1,13,4,0
CLM01033,18.98,1,1,9,3,0
CLM01034,38.52,1,1,7,0,0
CLM01035,38.19,1,1,13,3,0
CLM01036,7.41,1,1,21,2,0
CLM01037,43.08,3,1,22,1,0
CLM01038,9.8,1,1,8,2,0
CLM01039,20.11,1,0,1,5,1
CLM01040,210.91,1,1,3,5,1
CLM01041,26.75,1,1,17,2,0
CLM01042,32.23,1,1,16,3,0
CLM01043,33.83,1,1,10,0,0
CLM01044,22.76,1,1,9,1,0
CLM01045,7.1,1,1,7,4,0
CLM01046,29.85,2,1,10,0,0
CLM01047,7.0,1,1,17,1,0
CLM01048,38.38,1,1,8,0,0
CLM01049,37.32,1,1,11,2,0
CLM01050,31.76,7,0,3,4,1
CLM01051,31.1,1,1,18,4,0
CLM01052,19.34,1,1,8,2,0
CLM01053,11.23,1,1,20,4,0
CLM01054,41.66,1,1,12,3,0
CLM01055,73.25,5,0,5,7,1
CLM01056,35.43,1,1,22,1,0
CLM01057,41.33,1,1,14,1,0
CLM01058,152.22,1,1,11,6,1
CLM01059,30.58,1,1,7,0,0
CLM01060,11.75,1,0,8,0,0
CLM01061,15.56,1,1,10,3,0
CLM01062,8.55,1,1,13,2,0
CLM01063,42.7,2,1,10,2,0
CLM01064,30.01,1,1,11,1,0
CLM01065,42.32,1,0,16,3,0
CLM01066,0.02,1,1,17,3,0
CLM01067,30.4,1,1,12,0,0
CLM01068,29.87,1,1,14,2,0
CLM01069,8.96,1,1,22,4,0
CLM01070,3.28,1,1,13,3,0
CLM01071,10.98,1,1,10,3,0
CLM01072,36.18,1,1,14,0,0
CLM01073,36.06,1,0,17,3,0
CLM01074,32.37,1,1,21,1,0
CLM01075,21.36,1,1,15,4,0
CLM01076,10.77,1,1,14,2,0
CLM01077,40.19,1,1,19,1,0
CLM01078,2.89,1,1,20,0,0
CLM01079,18.91,2,1,7,4,0
CLM01080,0.27,1,1,20,4,0
CLM01081,24.58,1,1,14,2,0
CLM01082,1.31,1,1,19,1,0
CLM01083,41.38,3,1,19,4,0
CLM01084,1.22,1,1,21,1,0
CLM01085,9.52,5,1,12,7,1
CLM01086,37.44,1,1,7,4,0
CLM01087,65.7,2,0,5,4,1
CLM01088,42.73,1,1,11,1,0
CLM01089,22.56,1,0,14,3,1
CLM01090,7.55,1,1,10,1,0
CLM01091,4.86,1,1,19,3,0
CLM01092,8.92,1,1,14,0,0
CLM01093,13.57,1,1,8,2,0
CLM01094,29.77,1,1,7,3,0
CLM01095,4.75,2,1,21,1,0
CLM01096,33.02,2,1,22,3,0
CLM01097,32.9,1,1,9,2,0
CLM01098,10.97,1,1,19,2,0
CLM01099,62.73,3,0,2,8,1
CLM01100,39.61,1,1,7,4,0
CLM01101,3.85,1,1,14,3,0
CLM01102,22.09,1,1,14,3,0
CLM01103,13.78,1,1,18,3,0
CLM01104,24.77,1,1,16,2,0
CLM01105,32.46,1,1,12,1,0
CLM01106,21.79,1,0,16,0,0
CLM01107,13.33,1,1,11,2,0
CLM01108,144.27,1,1,3,1,1
CLM01109,21.12,1,1,8,2,0
CLM01110,21.5,1,1,9,4,0
CLM01111,2.41,1,1,16,0,0
CLM01112,5.33,1,1,14,4,0
CLM01113,40.88,1,1,20,2,0
CLM01114,2.71,2,1,13,1,0
CLM01115,3.65,1,1,12,0,0
CLM01116,31.02,1,1,16,2,0
CLM01117,20.43,1,0,13,3,0
CLM01118,112.78,2,0,2,1,1
CLM01119,33.7,7,1,14,4,1
CLM01120,13.68,1,1,22,3,0
CLM01121,175.05,2,1,0,1,1
CLM01122,30.34,2,1,7,2,0
CLM01123,34.34,1,1,21,2,0
CLM01124,26.34,1,1,9,3,0
CLM01125,15.0,1,1,17,3,0
